Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Lending category,Other groups,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,,East Asia & Pacific,Lower middle income,PG,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2016/18","Integrated household survey (IHS), 2009/10",Blend,,2013,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1989,2011 (household consumption only).,BPM5 (Converted into BPM6 by IMF),Actual,,Budgetary central government,,,1987,2012,2005
PRY,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,,Latin America & Caribbean,Upper middle income,PY,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2017",IBRD,,2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,,2008,2010,2018,2012
PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,,Latin America & Caribbean,Upper middle income,PE,Special Data Dissemination Standard (SDDS),2017,"Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2017",IBRD,,2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1985??0,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,,2012,2011,2018,2008
PHL,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,,East Asia & Pacific,Lower middle income,PH,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",IBRD,,2018,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM6,Actual,General trade system,Budgetary central government,Yes,2012,2012,2018,2009
POL,Poland,Poland,Republic of Poland,PL,Polish zloty,,Europe & Central Asia,High income,PL,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2016",IBRD,,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2010,2013,2018,2012
PRT,Portugal,Portugal,Portuguese Republic,PT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,PT,Special Data Dissemination Standard Plus (SDDS Plus),2011,,,,Euro area,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2009,2014,2018,2007
QAT,Qatar,Qatar,State of Qatar,QA,Qatari riyal,,Middle East & North Africa,High income,QA,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012",,,,2018,,Country uses the 1993 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Yes,,2013,2018,2005
ROU,Romania,Romania,Romania,RO,New Romanian leu,,Europe & Central Asia,Upper middle income,RO,Special Data Dissemination Standard Plus (SDDS Plus),2011,"Romania Reproductive Health Survey, 2004","Income survey (IS), 2016",IBRD,,Original chained constant price data are rescaled.,2005,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"1987??9, 1992",Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2010,2013,2018,2013
RUS,Russia,Russian Federation,Russian Federation,RU,Russian ruble,,Europe & Central Asia,Upper middle income,RU,Special Data Dissemination Standard (SDDS),2020 (expected),"Russian Federation Reproductive Health Survey, 2011","Expenditure survey/budget survey (ES/BS), 2017",IBRD,,Original chained constant price data are rescaled.,2016,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1987??5,2011,BPM6,Preliminary,General trade system,Consolidated central government,Yes,2016,2014,2018,2013
RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,,Sub-Saharan Africa,Low income,RW,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2016/17",IDA,HIPC,2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1994,2011,BPM6,Actual,General trade system,Budgetary central government,,"2008, 2013",1999,2016,2000
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,Saudi Arabian riyal,,Middle East & North Africa,High income,SA,Special Data Dissemination Standard (SDDS),2020 (expected),Demographic Survey 2016,,,,2010,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM6,,General trade system,Budgetary central government,,2015,2006,2018,2006
SEN,Senegal,Senegal,Republic of Senegal,SN,West African CFA franc,,Sub-Saharan Africa,Lower middle income,SN,Special Data Dissemination Standard (SDDS),2013,"Continuous Demographic and Health Survey, 2017","Priority survey (PS), 2011/12",IDA,HIPC,2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,,2013,2012,2018,2002
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,,Sub-Saharan Africa,Low income,SL,Enhanced General Data Dissemination System (e-GDDS),2020,"Demographic and Health Survey, 2019","Integrated household survey (IHS), 2011",IDA,HIPC,2006,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,,,1993,2017,2005
SGP,Singapore,Singapore,Republic of Singapore,SG,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,SG,Special Data Dissemination Standard (SDDS),2020 (expected). Population figures compiled from administrative registers.,"National Health Survey, 2010",,,,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,Consolidated central government,Yes,,2014,2018,1975
SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SK,Special Data Dissemination Standard Plus (SDDS Plus),2011,"World Health Survey, 2003","Income survey (IS), 2015",,Euro area,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2010,2013,2018,2014
SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SI,Special Data Dissemination Standard Plus (SDDS Plus),2018. Population figures compiled from administrative registers.,"World Health Survey, 2003","Income survey (IS), 2015",,Euro area,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2010,2013,2018,2013
SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,,East Asia & Pacific,Lower middle income,SB,Enhanced General Data Dissemination System (e-GDDS),2019,"Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13",IDA,,2012,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011 (household consumption only).,BPM6,Actual,Special trade system,Budgetary central government,,,,2018,
ZAF,South Africa,South Africa,Republic of South Africa,ZA,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,ZA,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2016","Expenditure survey/budget survey (ES/BS), 2014/15",IBRD,,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,,2007,2010,2018,2013
ESP,Spain,Spain,Kingdom of Spain,ES,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,ES,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",,Euro area,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2009,2014,2018,2012
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,,South Asia,Lower middle income,LK,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey, 2006/07","Expenditure survey/budget survey (ES/BS), 2016",IBRD,,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Yes,2013-2014,2012,2017,2005
SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,,Latin America & Caribbean,Upper middle income,SR,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 1999",IBRD,,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,Budgetary central government,Yes,2008-2009,,2018,2006
SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income,SE,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2010,2014,2018,2010
CHE,Switzerland,Switzerland,Switzerland,CH,Swiss franc,,Europe & Central Asia,High income,CH,Special Data Dissemination Standard (SDDS),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Yes,2010,2013,2018,2012
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Lower middle income,TJ,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",IDA,,Original chained constant price data are rescaled.,2000,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1990??5,2011,BPM6,Actual,,,,2013,,,2006
TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,,Sub-Saharan Africa,Lower middle income,TZ,Enhanced General Data Dissemination System (e-GDDS),2012,"Malaria Indicator Survey, 2017","Expenditure survey/budget survey (ES/BS), 2011/12",IDA,HIPC,2015,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Estimate,General trade system,Budgetary central government,,2007-2008,2010,2018,2002
THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2015",IBRD,,2002,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM6,Actual,Special trade system,Consolidated central government,,2013,2011,2018,2007
GMB,The Gambia,"Gambia, The",Republic of The Gambia,GM,Gambian dalasi,,Sub-Saharan Africa,Low income,GM,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2015",IDA,HIPC,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,,2011-2012,2004,2018,2000
TGO,Togo,Togo,Republic of Togo,TG,West African CFA franc,,Sub-Saharan Africa,Low income,TG,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2017; Multiple Indicator Cluster Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",IDA,HIPC,2016,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM6,Actual,General trade system,Budgetary central government,,2011-14,,2017,2002
TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,TT,Trinidad and Tobago dollar,,Latin America & Caribbean,High income,TT,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2011","Integrated household survey (IHS), 1992",IBRD,,2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,,BPM6,,Special trade system,,Yes,,2006,2015,
TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,,Middle East & North Africa,Lower middle income,TN,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",IBRD,,2010,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,,,2010,2017,2011
TUR,Turkey,Turkey,Republic of Turkey,TR,New Turkish lira,,Europe & Central Asia,Upper middle income,TR,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","Demographic and Health Survey, 2018","Expenditure survey/budget survey (ES/BS), 2016",IBRD,,Original chained constant price data are rescaled.,2009,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,Actual,Special trade system,Consolidated central government,Yes,,2014,2018,2008
TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,,Europe & Central Asia,Upper middle income,TM,,2012,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 1998",IBRD,,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"1987??5, 1997??007",,BPM5 (Converted into BPM6 by IMF),Estimate,,,,,,2000,2004
UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,Fiscal year end: June 30; reporting period for national accounts data: FY.,Sub-Saharan Africa,Low income,UG,Enhanced General Data Dissemination System (e-GDDS),2014,"Malaria Indicator Survey, 2018/19; National Panel Survey 2018-2019","Integrated household survey (IHS), 2015/16",IDA,HIPC,2016/2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,,2008-2009,2000,2018,2008
UKR,Ukraine,Ukraine,Ukraine,UA,Ukrainian hryvnia,,Europe & Central Asia,Lower middle income,UA,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 2017",IBRD,,Original chained constant price data are rescaled.,2016,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1987??5,2011,BPM6,Actual,General trade system,Consolidated central government,Yes,,2014,2018,2010
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,,Middle East & North Africa,High income,AE,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"World Health Survey, 2003",,,,2010,,Country uses the 1993 System of National Accounts methodology,Value added at producer prices (VAP),,2011,,,Special trade system,Consolidated central government,Yes,2012,1985,2018,2005
GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,,Europe & Central Asia,High income,GB,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,General trade system,Consolidated central government,Yes,2010,2013,2018,2012
USA,United States,United States,United States of America,US,U.S. dollar,,North America,High income,US,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),,"Labor force survey (LFS), 2016",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,Consolidated central government,Yes,2012,2011,2018,2010
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,Uruguayan peso,,Latin America & Caribbean,High income,UY,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2017",IBRD,,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,Special trade system,Consolidated central government,Yes,2011,2011,2018,2000
VEN,Venezuela,"Venezuela, RB",Rep?blica Bolivariana de Venezuela,VE,Venezuelan bolivar fuerte,,Latin America & Caribbean,,VE,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2000","Integrated household survey (IHS), 2015",IBRD,,1997,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Estimate,,,,2008,1998,2013,2007
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,,East Asia & Pacific,Lower middle income,VN,Enhanced General Data Dissemination System (e-GDDS),2019,"Multiple Indicator Cluster Survey, 2020/21","Integrated household survey (IHS), 2016",IBRD,,2010,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1991,2011,BPM6,Actual,General trade system,,Yes,2016,2013,2017,2005
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,,Middle East & North Africa,Lower middle income,GZ,Special Data Dissemination Standard (SDDS),2017,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2016/17",,,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,,Consolidated central government,,2010,2013,2018,2005
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,YE,Yemeni rial,,Middle East & North Africa,Low income,RY,Enhanced General Data Dissemination System (e-GDDS),2004,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014",IDA,,1990,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1990??6,2011,BPM5 (Converted into BPM6 by IMF),Estimate,Special trade system,,,,2012,2015,2005
ZMB,Zambia,Zambia,Republic of Zambia,ZM,New Zambian kwacha,"National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",Sub-Saharan Africa,Lower middle income,ZM,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2018","Integrated household survey (IHS), 2015",IDA,HIPC,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1990??2,2011,BPM6,Actual,General trade system,Budgetary central government,,,1994,2018,2002
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,U.S. dollar,,Sub-Saharan Africa,Lower middle income,ZW,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2011/12",Blend,,2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"1991, 1998",2011,BPM6,Actual,General trade system,Budgetary central government,,,,2018,2007
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,,,Armenia,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUS,,,Australia,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
